C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 185, col 35, Warning - Avoid setting styles directly via `element.style.marginRight`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 190, col 17, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 203, col 9, Warning - Avoid setting styles directly via `element.style.background`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 204, col 9, Warning - Avoid setting styles directly via `element.style.padding`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 205, col 9, Warning - Avoid setting styles directly via `element.style.borderRadius`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 206, col 9, Warning - Avoid setting styles directly via `element.style.marginTop`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 208, col 47, Error - Use sentence case for UI text. (obsidianmd/ui/sentence-case)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 217, col 9, Warning - Avoid setting styles directly via `element.style.display`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 218, col 9, Warning - Avoid setting styles directly via `element.style.gridTemplateColumns`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
C:\Projects\trainee-work\Obsidian-OSINT-Copilot-plugin\src\modals\custom-type-modal.ts: line 219, col 9, Warning - Avoid setting styles directly via `element.style.gap`. Use CSS classes for better theming and maintainability. Use the `setCssProps` function to change CSS properties. (obsidianmd/no-static-styles-assignment)
